Date,Recovered,Deaths,NewCases,Male,Female,Age0To19,Age20To29,Age30To39,Age40To49,Age50To59,Age60To69,Age70OrMore,TotalConfirmedCases,TotalRecovered,TotalDeaths,ActiveCases
2020-03-31,1,0,5,1,4,1,3,0,1,0,0,0,93,50,2,40
2020-04-01,0,0,15,9,6,3,8,1,0,3,0,0,108,50,2,55
2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0,108,50,2,55
2020-04-03,0,0,1,1,0,0,0,0,1,0,0,0,109,50,2,56
2020-04-04,0,1,1,1,0,0,0,0,0,0,1,0,110,50,3,56
2020-04-05,0,0,3,0,3,0,3,0,0,0,0,0,113,50,3,59
2020-04-06,16,0,2,0,2,0,1,0,0,0,1,0,115,67,3,45
2020-04-07,17,0,1,0,1,1,0,0,0,0,0,0,116,84,3,29
2020-04-08,10,0,0,0,0,0,0,0,0,0,0,0,116,94,3,19
2020-04-09,0,0,4,1,3,1,2,0,1,0,0,0,120,94,3,23
2020-04-10,0,1,1,0,1,0,0,0,0,0,1,0,121,94,4,23
2020-04-11,1,0,4,1,3,1,1,2,0,0,0,0,125,95,4,26
2020-04-12,0,0,0,0,0,0,0,0,0,0,0,0,125,95,4,26
2020-04-13,5,0,2,2,0,1,0,0,0,0,1,0,127,100,4,23
2020-04-14,0,0,1,1,0,0,1,0,0,0,0,0,128,100,4,24
2020-04-15,0,0,1,1,0,0,1,0,0,0,0,0,129,100,4,25
2020-04-16,0,0,2,1,1,0,2,0,0,0,0,0,131,100,4,27
2020-04-17,10,0,0,0,0,0,0,0,0,0,0,0,131,110,4,17
2020-04-18,6,0,0,0,0,0,0,0,0,0,0,0,131,116,4,11
2020-04-19,2,0,0,0,0,0,0,0,0,0,0,0,131,118,4,9
2020-04-20,4,0,0,0,0,0,0,0,0,0,0,0,131,122,4,5
2020-04-21,0,0,0,0,0,0,0,0,0,0,0,0,131,122,4,5
2020-04-22,4,0,0,0,0,0,0,0,0,0,0,0,131,126,4,1
2020-04-23,0,0,1,1,0,0,0,1,0,0,0,0,132,126,4,2
2020-04-24,0,0,2,2,0,0,1,0,0,0,0,1,134,126,4,4
2020-04-25,0,0,0,0,0,0,0,0,0,0,0,0,134,126,4,4
2020-04-26,0,0,0,0,0,0,0,0,0,0,0,0,134,126,4,4
2020-04-27,0,0,3,0,3,2,1,0,0,0,0,0,137,126,4,7
2020-04-28,0,0,0,0,0,0,0,0,0,0,0,0,137,126,4,7
2020-04-29,0,0,1,1,0,0,0,1,0,0,0,0,138,126,4,8
2020-04-30,0,0,0,0,0,0,0,0,0,0,0,0,138,126,4,8
2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,138,126,4,8
2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,138,126,4,8
2020-05-03,7,0,0,0,0,0,0,0,0,0,0,0,138,133,4,1
2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,138,133,4,1
2020-05-05,1,0,0,0,0,0,0,0,0,0,0,0,138,134,4,0
2020-05-06,0,0,0,0,0,0,0,0,0,0,0,0,138,134,4,0
2020-05-07,0,0,0,0,0,0,0,0,0,0,0,0,138,134,4,0
2020-05-08,0,0,0,0,0,0,0,0,0,0,0,0,138,134,4,0
2020-05-09,0,0,0,0,0,0,0,0,0,0,0,0,138,134,4,0
2020-05-10,0,0,0,0,0,0,0,0,0,0,0,0,138,134,4,0
2020-05-11,0,0,0,0,0,0,0,0,0,0,0,0,138,134,4,0
2020-05-12,0,0,0,0,0,0,0,0,0,0,0,0,138,134,4,0
2020-05-13,0,0,1,1,0,0,0,0,0,1,0,0,139,134,4,1
2020-05-14,0,0,5,2,3,4,0,0,1,0,0,0,144,134,4,6
2020-05-15,0,0,0,0,0,0,0,0,0,0,0,0,144,134,4,6
2020-05-16,0,0,7,3,4,3,1,0,2,1,0,0,151,134,4,13
2020-05-17,0,0,9,6,3,2,3,0,2,2,0,0,160,134,4,22
2020-05-18,0,0,1,1,0,0,1,0,0,0,0,0,161,134,4,23
2020-05-19,0,0,9,4,5,1,2,3,0,3,0,0,170,134,4,32
2020-05-20,0,0,3,1,2,0,2,0,1,0,0,0,173,134,4,35
2020-05-21,0,0,5,2,3,1,0,1,2,0,1,0,178,134,4,40
2020-05-22,0,0,7,3,4,4,1,1,0,1,0,0,185,134,4,47
2020-05-23,17,0,8,3,5,0,1,3,2,1,1,0,193,151,4,38
2020-05-24,0,0,10,6,4,0,2,2,2,1,3,0,203,151,4,48
2020-05-25,0,0,0,0,0,0,0,0,0,0,0,0,203,151,4,48
2020-05-26,0,0,1,1,0,0,0,1,0,0,0,0,204,151,4,49
2020-05-27,0,0,16,9,7,2,4,4,1,0,4,1,220,151,4,65
2020-05-28,0,0,22,13,9,1,5,4,6,3,3,0,242,151,4,87
2020-05-29,0,0,6,5,1,0,0,2,2,1,1,0,248,151,4,93
2020-05-30,0,1,24,14,10,1,4,1,4,6,4,4,272,151,5,116
2020-05-31,0,1,102,64,38,6,26,22,17,17,8,6,374,151,6,217
2020-06-01,0,0,28,16,12,1,4,7,4,8,1,3,402,151,6,245
2020-06-02,12,5,46,31,15,6,11,5,9,4,6,5,448,163,11,274
2020-06-03,0,0,52,25,27,2,13,13,10,6,4,4,500,163,11,326
2020-06-04,0,2,89,51,38,13,13,22,16,18,6,1,589,163,13,413
2020-06-05,4,2,45,30,15,3,8,13,7,8,6,0,634,167,15,452
2020-06-06,0,1,91,59,32,12,25,22,11,14,6,1,725,167,16,542
2020-06-07,0,6,73,50,23,10,12,17,12,10,9,3,798,167,22,609
2020-06-08,79,2,74,42,32,9,19,18,13,8,6,1,872,246,24,602
2020-06-09,0,1,137,85,52,27,25,45,18,14,6,2,1009,246,25,738
2020-06-10,0,1,58,37,21,3,16,22,10,4,1,2,1067,246,26,795
2020-06-11,0,5,114,77,37,15,19,30,19,12,12,7,1181,246,31,904
2020-06-12,5,3,80,43,37,11,13,20,15,9,6,6,1261,251,34,976
2020-06-13,17,4,136,97,39,9,17,30,41,19,10,10,1312,268,38,1091
2020-06-14,351,3,78,51,27,7,9,26,18,14,3,1,1475,619,41,815
2020-06-15,0,6,127,79,48,9,15,38,24,22,11,8,1602,619,47,936
2020-06-16,21,5,152,100,52,20,17,38,37,17,11,12,1754,640,52,1062
2020-06-17,8,11,124,71,53,8,19,39,33,14,7,4,1878,648,63,1167
2020-06-18,23,7,159,96,63,5,37,45,29,21,14,8,2037,671,70,1296
2020-06-19,61,5,185,118,67,19,37,45,40,22,13,9,2222,732,75,1415
2020-06-20,4,7,238,143,95,15,51,61,40,36,28,7,2460,736,82,1642
2020-06-21,5,11,245,149,96,15,47,61,48,41,24,9,2705,741,93,1871
2020-06-22,4,5,250,161,89,19,47,60,56,35,21,12,2955,745,98,2112
2020-06-23,3,9,213,134,79,18,40,50,54,31,13,7,3168,748,107,2313
2020-06-24,0,4,173,103,70,8,38,52,28,27,12,8,3341,748,111,2482
2020-06-25,0,15,162,102,60,9,18,41,44,30,16,4,3503,748,126,2629
2020-06-26,9,12,255,178,77,7,40,76,55,40,27,10,3758,757,138,2863
2020-06-27,9,17,253,165,88,12,41,68,54,41,26,11,4011,768,155,3088
2020-06-28,6,3,86,0,0,0,0,0,0,0,0,0,4097,774,158,3165
2020-06-29,19,12,132,0,0,0,0,0,0,0,0,0,4229,793,170,3266
2020-06-30,39,7,181,0,0,0,0,0,0,0,0,0,4410,832,177,3401
2020-07-01,183,5,161,0,0,0,0,0,0,0,0,0,4571,1015,182,3374
2020-07-02,21,8,177,0,0,0,0,0,0,0,0,0,4748,1036,190,3522
2020-07-03,44,8,143,0,0,0,0,0,0,0,0,0,4891,1080,198,3613
2020-07-04,189,9,176,0,0,0,0,0,0,0,0,0,5067,1269,207,3591
2020-07-05,97,10,227,0,0,0,0,0,0,0,0,0,5294,1366,217,3711
2020-07-06,0,5,172,0,0,0,0,0,0,0,0,0,5466,1366,222,3878
2020-07-07,6,7,275,0,0,0,0,0,0,0,0,0,5741,1372,229,4140
2020-07-08,29,7,188,0,0,0,0,0,0,0,0,0,5929,1401,236,4292
